"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007541.17",2669.71118773969,-1.13014730079152,0.0970851805977164,-11.6407807436071,2.55664446271753e-31,5.65885859203283e-29,"PIGQ"
"ENSG00000115947.14",1282.11188272945,0.94779136714923,0.0814147720598114,11.6415159456927,2.53469873908436e-31,5.65885859203283e-29,"ORC4"
"ENSG00000065548.18",3241.61469239676,0.929611069029974,0.0798827571482402,11.6371930841705,2.66647191024129e-31,5.79840689955103e-29,"ZC3H15"
"ENSG00000243449.6",591.452309190189,-2.08267056796908,0.178957431158074,-11.6377987462809,2.64760782288929e-31,5.79840689955103e-29,"C4orf48"
"ENSG00000133063.16",1997.34788156741,-4.05553211761694,0.348901300670636,-11.6237231269177,3.12226790101666e-31,6.57789392135661e-29,"CHIT1"
"ENSG00000138385.16",3430.40187649623,1.02995802926305,0.0886101050349385,11.6234827715975,3.13106689277967e-31,6.57789392135661e-29,"SSB"
"ENSG00000138386.17",2165.42873666641,1.19327927642485,0.102645088509214,11.6252934627041,3.06538167508782e-31,6.57789392135661e-29,"NAB1"
"ENSG00000147123.11",5728.71521546995,-1.06678744141389,0.091769418461862,-11.624650774672,3.08853792249448e-31,6.57789392135661e-29,"NDUFB11"
"ENSG00000183617.5",1417.78495898466,-1.07139963741531,0.0921947503792026,-11.6210481942689,3.22159182656416e-31,6.71119843533827e-29,"MRPL54"
"ENSG00000116747.13",2409.23748042205,1.3175573017954,0.113426677644348,11.6159384120077,3.42012491324411e-31,7.06540804994346e-29,"RO60"
"ENSG00000130522.6",7217.95163405105,-1.35005081198459,0.11624155579663,-11.6141839528246,3.49105546263478e-31,7.15233594369556e-29,"JUND"
"ENSG00000144224.17",4884.59250584484,0.986440269956161,0.0850111641675066,11.6036555859001,3.94844178944649e-31,8.00958167140597e-29,"UBXN4"
"ENSG00000168813.17",1356.95917850771,1.01149063179439,0.0871741605048609,11.6031014917314,3.97409659371898e-31,8.00958167140597e-29,"ZNF507"
"ENSG00000092140.16",704.111050830568,1.23516874788768,0.106472187561822,11.6008581787661,4.07966511913472e-31,8.15604018575401e-29,"G2E3"
"ENSG00000115808.12",1729.44943899741,0.914296327973354,0.0788509476133662,11.5952484484583,4.35599735699785e-31,8.63881395839814e-29,"STRN"
"ENSG00000007520.4",2400.43423388931,-1.00297651146191,0.0865384122112933,-11.589957405424,4.6336292761223e-31,9.07167259882821e-29,"TSR3"
"ENSG00000235043.3",83.1419464535364,-1.64638042627187,0.142055453909943,-11.5897023377617,4.64744824546665e-31,9.07167259882821e-29,"TECRP1"
"ENSG00000168878.19",134.735140798522,-5.52781070466548,0.477405254772693,-11.578864391213,5.27400624046302e-31,1.02142667735217e-28,"SFTPB"
