"","sample","ENSG00000115419_logTPM","group"
"189","TCGA-EE-A185-06A-11R-A18S-07",5.47473779000905,"Middle"
"190","TCGA-WE-A8K1-06A-21R-A37K-07",4.93394553806247,"Middle"
"191","TCGA-LH-A9QB-06A-11R-A38C-07",5.52605002645361,"Middle"
"192","TCGA-EE-A2M5-06A-12R-A18S-07",5.70344405206512,"High"
"193","TCGA-EE-A2GI-06A-11R-A18T-07",4.43542190851619,"Low"
"194","TCGA-GN-A26D-06A-11R-A18T-07",4.85205878164439,"Middle"
"195","TCGA-D3-A3BZ-06A-12R-A18S-07",3.99337546741112,"Low"
"196","TCGA-EE-A3AC-06A-11R-A18S-07",5.64157203898,"Middle"
"197","TCGA-FR-A44A-06A-11R-A24X-07",5.88592084288431,"High"
"198","TCGA-FS-A4F0-06A-11R-A24X-07",6.46263968505618,"High"
"199","TCGA-EE-A180-06A-11R-A21D-07",5.21491744798807,"Middle"
"200","TCGA-FW-A3R5-06A-11R-A239-07",6.05143301035859,"High"
"201","TCGA-GN-A262-06A-11R-A18T-07",4.81012429780139,"Middle"
"202","TCGA-D3-A2JF-06A-11R-A18S-07",4.77499784895625,"Middle"
"203","TCGA-D9-A148-06A-11R-A18S-07",4.73626391309253,"Middle"
"204","TCGA-ER-A3EV-06A-11R-A20F-07",2.89762767427955,"Low"
"205","TCGA-XV-AAZV-01A-11R-A40A-07",5.20189258218911,"Middle"
"206","TCGA-GN-A9SD-06A-11R-A40A-07",5.42021962901187,"Middle"
"207","TCGA-FS-A1ZA-06A-11R-A18T-07",5.06120159682643,"Middle"
"208","TCGA-DA-A1HV-06A-21R-A18S-07",4.86243651299131,"Middle"
"209","TCGA-D9-A4Z3-01A-11R-A266-07",5.99238323777299,"High"
"210","TCGA-D3-A1Q6-06A-11R-A18T-07",6.30254388326409,"High"
"211","TCGA-D3-A8GQ-06A-11R-A37K-07",5.73837604056903,"High"
"212","TCGA-RP-A695-06A-11R-A311-07",4.50720475857159,"Low"
"213","TCGA-D3-A2JA-06A-11R-A18T-07",6.22171857693429,"High"
"214","TCGA-ER-A19Q-06A-11R-A18U-07",5.00966516797296,"Middle"
"215","TCGA-EE-A3J7-06A-11R-A20F-07",5.75331571165539,"High"
"216","TCGA-BF-AAP7-01A-11R-A40A-07",3.27193357789043,"Low"
"217","TCGA-D3-A51G-06A-11R-A266-07",6.58539674668097,"High"
"218","TCGA-BF-A1PZ-01A-11R-A18S-07",4.67701767638202,"Middle"
"219","TCGA-W3-AA1R-06A-11R-A39D-07",5.70240820818721,"High"
"220","TCGA-ER-A195-06A-11R-A18U-07",5.7086673185996,"High"
"221","TCGA-EB-A97M-01A-11R-A38C-07",3.79547605252162,"Low"
"222","TCGA-EE-A2MP-06A-11R-A18S-07",5.04548665635946,"Middle"
"223","TCGA-EE-A2A2-06A-11R-A18T-07",6.21886445738671,"High"
"224","TCGA-EB-A51B-01A-11R-A27Q-07",5.59351512387127,"Middle"
"225","TCGA-Z2-A8RT-06A-11R-A37K-07",5.04567885727838,"Middle"
"226","TCGA-GN-A26A-06A-11R-A18T-07",5.27676835506665,"Middle"
"227","TCGA-EE-A2M8-06A-12R-A18S-07",5.44525989692471,"Middle"
"228","TCGA-WE-A8ZY-06A-11R-A37K-07",5.31764776745859,"Middle"
"229","TCGA-FS-A4FB-06A-11R-A266-07",6.14841353439182,"High"
"230","TCGA-FS-A1ZB-06A-12R-A18S-07",4.5254738277589,"Low"
"231","TCGA-GN-A265-06A-21R-A18T-07",4.6854636553203,"Middle"
"232","TCGA-DA-A95Z-06A-11R-A37K-07",4.88423646937431,"Middle"
"233","TCGA-BF-A3DJ-01A-11R-A20F-07",5.62713695194544,"Middle"
"234","TCGA-EB-A44P-01A-11R-A266-07",5.78469765540291,"High"
"235","TCGA-FS-A4FD-06A-11R-A266-07",6.70486090080165,"High"
"236","TCGA-EE-A20F-06A-21R-A18S-07",4.2105836837023,"Low"
"237","TCGA-EE-A182-06A-11R-A18T-07",2.55927153760481,"Low"
"238","TCGA-YD-A89C-06A-11R-A37K-07",6.23936557903528,"High"
"239","TCGA-GN-A264-06A-11R-A18U-07",6.18389933454368,"High"
"240","TCGA-WE-A8ZQ-06A-41R-A37K-07",5.68339609547552,"Middle"
"241","TCGA-D3-A3CE-06A-11R-A18S-07",5.285631552153,"Middle"
"242","TCGA-DA-A1I4-06A-11R-A18U-07",4.90232446098095,"Middle"
"243","TCGA-ER-A19M-06A-61R-A239-07",5.632233311165,"Middle"
"244","TCGA-EB-A6QY-01A-12R-A32P-07",5.86949143987302,"High"
"245","TCGA-FS-A1Z4-06A-11R-A18T-07",6.13781702994156,"High"
"246","TCGA-EE-A2MJ-06A-11R-A18S-07",4.98758463851185,"Middle"
"247","TCGA-EE-A2A0-06A-11R-A18T-07",5.68886572773732,"Middle"
"248","TCGA-BF-A5EP-01A-12R-A27Q-07",4.85278790735342,"Middle"
"249","TCGA-EE-A29N-06A-12R-A18S-07",5.86023034244969,"High"
"250","TCGA-XV-A9W2-01A-11R-A39D-07",3.99835800032652,"Low"
"251","TCGA-EB-A299-01A-21R-A18U-07",4.34102505351785,"Low"
"252","TCGA-EB-A3Y6-01A-21R-A239-07",5.46187229797537,"Middle"
"253","TCGA-D3-A1Q1-06A-21R-A18T-07",6.46451961209783,"High"
"254","TCGA-EE-A29B-06A-11R-A18U-07",4.57164647544174,"Middle"
"255","TCGA-D3-A51E-06A-11R-A266-07",5.60371535170319,"Middle"
"256","TCGA-FW-A5DY-06A-11R-A311-07",5.24207654658127,"Middle"
"257","TCGA-EE-A2GH-06A-11R-A18T-07",3.99155359068609,"Low"
"258","TCGA-EE-A2GL-06A-11R-A18S-07",5.65155116478175,"Middle"
"259","TCGA-FS-A1ZR-06A-21R-A18U-07",5.66270967107081,"Middle"
"260","TCGA-FS-A1ZM-06A-12R-A18S-07",5.59139817408428,"Middle"
