"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000115816.15",1604.06313054947,1.53154585308777,0.10253225300876,14.9372105668733,1.88710769810994e-50,9.78543970957424e-48,"CEBPZ"
"ENSG00000103540.16",789.992770310594,1.35220311683329,0.0905767031425294,14.9288180063862,2.14026284615799e-50,1.08716616818107e-47,"CCP110"
"ENSG00000058272.19",2371.87549397619,1.23564625412443,0.0828536042781437,14.9136089478534,2.68821280970722e-50,1.33819233667226e-47,"PPP1R12A"
"ENSG00000144357.18",1907.03157798243,1.0566447667355,0.0709300079892125,14.8970061711568,3.44681341891142e-50,1.68218011758245e-47,"UBR3"
"ENSG00000100949.14",2284.36166346848,-1.25494745248704,0.0842867134058354,-14.8890305693205,3.88359684035194e-50,1.85889856454538e-47,"RABGGTA"
"ENSG00000115966.17",1974.37344015735,1.13749304375804,0.076424579871457,14.8838638782346,4.19552897557697e-50,1.97031540003983e-47,"ATF2"
"ENSG00000105427.10",636.962996910057,-4.07630688278917,0.274605076566001,-14.8442517296632,7.5795820740152e-50,3.493625885597e-47,"CNFN"
"ENSG00000130522.6",7395.52117773857,-1.52579043056464,0.103126616206894,-14.795311692411,1.57055110027679e-49,6.8580731378753e-47,"JUND"
"ENSG00000135837.16",3189.51305197331,1.24254452020836,0.0839772384956176,14.7962060013822,1.54981364331608e-49,6.8580731378753e-47,"CEP350"
"ENSG00000163510.14",1263.99743317959,1.14747788700815,0.0775450583447827,14.7975630104785,1.51886644507094e-49,6.8580731378753e-47,"CWC22"
"ENSG00000177917.11",726.651018651163,1.19090867254041,0.0805369155454739,14.7871155044171,1.77394754779159e-49,7.61268180422977e-47,"ARL6IP6"
"ENSG00000182154.8",2871.26019316177,-1.75855042526675,0.119150063487949,-14.7591228555628,2.68753364324732e-49,1.13377478610891e-46,"MRPL41"
"ENSG00000134590.14",8756.63019758588,-1.26696540258849,0.0863583085107199,-14.6710307836937,9.8832162711714e-49,4.09988754982427e-46,"RTL8C"
"ENSG00000130748.7",402.035564622073,-1.70722421819215,0.116455935664938,-14.6598299901527,1.16564451941773e-48,4.75621181775531e-46,"TMEM160"
"ENSG00000115750.17",672.256725101737,1.17630155637569,0.0802675896554521,14.6547512068688,1.25615908634254e-48,5.04287091275256e-46,"TAF1B"
"ENSG00000168813.17",1227.32637291323,1.09875164103087,0.0752179524224283,14.6075718049358,2.51316599462117e-48,9.92900025493985e-46,"ZNF507"
