"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000117906.14",3495.05182125791,1.81842576183483,0.186520717628785,9.74918917829744,1.85947459184839e-22,8.30909664838921e-20,"RCN2"
"ENSG00000033867.16",1302.29632432639,2.25951563620089,0.231901592218142,9.74342441804125,1.96808055351967e-22,8.48842095365756e-20,"SLC4A7"
"ENSG00000138035.15",1512.02242186326,1.29629746510858,0.133044637740463,9.74332740592921,1.96996093412691e-22,8.48842095365756e-20,"PNPT1"
"ENSG00000152133.16",592.343802067887,1.61699997141941,0.166025203102303,9.73948497700692,2.04588592262942e-22,8.66091707246454e-20,"GPATCH11"
"ENSG00000103145.11",4010.29694695239,-2.08499624133799,0.214205746746413,-9.73361486798163,2.16750409161339e-22,8.8668585886399e-20,"HCFC1R1"
"ENSG00000179941.9",560.076548311943,1.73836040212377,0.178593954802295,9.73359038970919,2.16802592925717e-22,8.8668585886399e-20,"BBS10"
"ENSG00000174891.13",640.946623504496,1.44056804836608,0.14811654087751,9.72590934024983,2.33806885542662e-22,9.40293358024072e-20,"RSRC1"
"ENSG00000106052.13",7527.66031375557,1.79502541631506,0.184757941087007,9.71555217466806,2.58842235311513e-22,1.00739728033336e-19,"TAX1BP1"
"ENSG00000127337.7",497.211319690501,1.88331960427665,0.193816652675878,9.71701646001568,2.55147973391543e-22,1.00739728033336e-19,"YEATS4"
"ENSG00000196544.8",505.447800127321,-1.62429628389472,0.167710029020956,-9.68514699673539,3.48706540435883e-22,1.33560140011394e-19,"BORCS6"
"ENSG00000224051.7",2769.14325970059,-1.70698929426155,0.176534193578145,-9.66945417011198,4.06540521351925e-22,1.53278480940968e-19,"CPTP"
"ENSG00000011405.13",1706.69992072589,1.93268169808557,0.199963939798434,9.66515112691689,4.23993654340088e-22,1.57399490449636e-19,"PIK3C2A"
"ENSG00000164134.13",1863.3773323272,1.40912248567677,0.145976780489203,9.65305907524783,4.77108184292163e-22,1.74433643741968e-19,"NAA15"
"ENSG00000136381.13",1938.95706397532,1.47864753910806,0.153838539063586,9.61168474498378,7.13714904848054e-22,2.57043890357963e-19,"IREB2"
"ENSG00000124795.17",4215.65122682638,1.90464751796629,0.198342325378587,9.60282942297257,7.7779400026625e-22,2.76002488623891e-19,"DEK"
"ENSG00000115816.15",1135.68840464372,2.07139548715774,0.215992541898149,9.5901250522553,8.79783158884646e-22,3.07669095998355e-19,"CEBPZ"
"ENSG00000197713.15",1325.07374517634,1.24419615747031,0.129919363908848,9.57667987308835,1.00214700755607e-21,3.45454389890398e-19,"RPE"
"ENSG00000170903.11",777.200549629467,1.64598041566019,0.171917336912854,9.57425496007158,1.02594319440044e-21,3.48676187054683e-19,"MSANTD4"
"ENSG00000101972.19",3335.31877334591,1.71549153951152,0.179273817415153,9.56911368456488,1.07826044830088e-21,3.51600332668923e-19,"STAG2"
"ENSG00000129317.15",587.159085533028,1.70176289004697,0.177832322167364,9.56948022331611,1.07444475270141e-21,3.51600332668923e-19,"PUS7L"
"ENSG00000257704.4",587.948888704842,-2.05542916850938,0.214793242595531,-9.56933813965407,1.07592226590916e-21,3.51600332668923e-19,"INAFM1"
"ENSG00000123106.10",727.467720497304,1.45204465421507,0.151858833161382,9.56180568483605,1.15719800253278e-21,3.72309170681547e-19,"CCDC91"
"ENSG00000135837.16",2293.30298404416,1.59242895636133,0.166767834518754,9.54877756227179,1.31235623406272e-21,4.11261765297838e-19,"CEP350"
