"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000171724",621.335838516624,-1.30522441165626,0.13795243388118,-9.46140908815327,3.03820971452945e-21,4.43148205278409e-18
"ENSG00000162415",30.6916608723944,1.08228017045443,0.310093195373791,3.49017710353119,0.000482700541254304,0.0119163717539832
"ENSG00000228594",23.4870749351086,1.45516434777248,0.345021057347198,4.21761024953367,2.46905107679111e-05,0.00119380665737776
"ENSG00000176046",458.362356134435,1.68980775486466,0.162718202587235,10.3848723006803,2.90557893844592e-25,5.65070535106876e-22
"ENSG00000136167",44.1083923912817,1.01882555426459,0.255179528409016,3.99258342006009,6.53573292259031e-05,0.00254777134396655
"ENSG00000272851",39.1463927459853,1.0448350673806,0.312787389497659,3.34040022859814,0.000836577335453458,0.0180550099906805
"ENSG00000179403",42.973730370598,1.53365349580989,0.34057177199749,4.5031726699334,6.69464471847562e-06,0.000423318890758807
"ENSG00000271029",20.9256232469692,-1.31387425294985,0.39532109663588,-3.32356219825025,0.000888756010991079,0.0187892606437342
"ENSG00000215326",37.7636640784533,-1.36210438224737,0.449409852245029,-3.03087343422262,0.00243847439783308,0.0388005612593385
"ENSG00000198658",29.1795174349627,-1.00741527036024,0.337692136452292,-2.98323579857052,0.00285218163002854,0.0434858319428481
"ENSG00000246705",43.7031670122416,1.02635783448207,0.247022602984503,4.15491465996114,3.25408974663098e-05,0.00146794672255881
"ENSG00000290398",14.1736032734205,1.38942795653067,0.445419183418804,3.11937161274947,0.00181237224694098,0.0316379996693356
"ENSG00000167355",190.266015302139,1.55467435571392,0.127885974215549,12.156722934241,5.28359896791707e-34,1.54131387892421e-30
"ENSG00000050327",149.999697122865,1.56168730054636,0.169916802233339,9.19089389642444,3.89590223299409e-20,4.8707126274354e-17
"ENSG00000107984",2692.90531375804,1.04304371043316,0.162077064661105,6.4354800144864,1.23083724927914e-10,2.992131163074e-08
"ENSG00000232303",19.7438213619405,-1.17254782770097,0.354237932201571,-3.31005722739416,0.000932768983530524,0.019505681623339
"ENSG00000125398",205.296997579271,3.77529475584109,0.183296907381731,20.5966091287003,2.94345363836073e-94,5.15192690322279e-90
"ENSG00000231131",128.022047614345,1.71144227801903,0.158653339470501,10.7873069910214,3.95200719974e-27,8.64649775213115e-24
"ENSG00000171385",55.1252414871438,1.11193255274456,0.242737628885115,4.58080009206496,4.63200444538342e-06,0.00031424020855638
"ENSG00000164181",25.7513725334853,1.15953383990785,0.352123661454924,3.29297336940332,0.000991338638015279,0.0204134119778605
"ENSG00000162849",318.902066529219,-1.1917935531348,0.195169079364663,-6.10646705417921,1.01860650234522e-09,1.93789887071178e-07
"ENSG00000217094",759.823581311119,-1.02142669125646,0.20169341460063,-5.06425404755517,4.10002591154558e-07,4.05439285478996e-05
"ENSG00000143632",44.4492620053503,-1.09824028557095,0.368905528238241,-2.97702311704503,0.00291062062672999,0.0440697169806704
"ENSG00000139629",182.191911478781,1.00128575506578,0.134338446804658,7.45345639228474,9.09260613844348e-14,4.54708243546218e-11
"ENSG00000288859",20.6357766815092,-3.31812437992528,0.890759315777227,-3.72505156124028,0.0001952753040526,0.00595453597009173
"ENSG00000132530",25.0312582125307,1.38551926494285,0.319849931596028,4.33177915039471,1.47909265634036e-05,0.000804432653109559
"ENSG00000204959",29.2755075049553,2.99682371787689,0.649014124648016,4.61750153666098,3.88387806625946e-06,0.000273010111621443
"ENSG00000170703",15.4160953250014,1.37484940600339,0.420413440180859,3.27023181136154,0.00107459384255998,0.021619098880836
"ENSG00000148677",29.9898498059556,2.68554780272153,0.460391471969387,5.83318320653015,5.4379801947631e-09,9.2408706164018e-07
"ENSG00000167767",942.783129332089,1.20633265373416,0.0776051381534964,15.5444946357564,1.73384906169336e-54,1.51737800634095e-50
"ENSG00000276170",23.900957584419,1.13888706028254,0.33435698528182,3.40620088831883,0.000658736886960812,0.015012853818327
"ENSG00000069482",24.2833735480518,1.05698276275319,0.340986612488911,3.09977789168354,0.00193665810149403,0.0330061604191334
"ENSG00000151834",15.4080575893321,1.57283283311633,0.4343434294484,3.62117330775273,0.000293269968333125,0.00810916944033917
"ENSG00000144583",48.8041317448621,2.01641335304104,0.271363231729521,7.43068005267153,1.08040757651743e-13,5.11091184102287e-11
"ENSG00000225670",19.9802727642605,-1.5708487940306,0.403222378837127,-3.89573812485518,9.7900123117249e-05,0.00349569534792136
"ENSG00000205426",191.069114635075,1.30017171434618,0.213829856386967,6.0804030658528,1.19880808073349e-09,2.23220615288066e-07
