"","SCR_exp1","SCR_exp2","SCR_exp3","SCR_exp4","GLS_KO_exp1","GLS_KO_exp2","GLS_KO_exp3","GLS_KO_exp4"
"ENSG00000213526",0,4,5,1,1,1,3,5
"ENSG00000230159",133,121,125,147,192,128,173,209
"ENSG00000229335",3,5,0,4,2,5,2,0
"ENSG00000228532",103,99,156,119,135,105,105,122
"ENSG00000234785",70,60,167,68,70,90,58,107
"ENSG00000102024",3067,3556,2848,3062,3989,3361,3667,3873
"ENSG00000271826",3,5,2,5,2,4,15,7
"ENSG00000306932",0,0,1,0,0,0,0,0
"ENSG00000302967",1,0,0,0,0,1,0,0
"ENSG00000123496",8973,8870,3306,4231,11794,10526,6627,7193
"ENSG00000125354",778,1062,526,577,1495,1297,859,906
"ENSG00000241743",5,0,5,3,4,0,6,6
"ENSG00000300962",0,0,0,0,0,1,0,0
"ENSG00000220541",0,0,0,1,0,0,0,0
"ENSG00000156504",1010,1381,1176,1565,1626,1327,1674,1746
"ENSG00000286072",1,0,0,0,1,0,1,0
"ENSG00000126016",877,1320,1171,1146,1387,1185,1069,1101
"ENSG00000271400",0,0,1,1,1,0,0,1
"ENSG00000236189",1,1,4,1,3,0,1,3
"ENSG00000101938",1288,1619,333,446,1374,1267,275,284
"ENSG00000243978",42,90,103,115,165,111,148,230
"ENSG00000157600",776,1087,1023,1124,1354,1082,1210,1233
"ENSG00000225381",0,0,0,0,0,0,0,3
"ENSG00000289365",1,11,8,2,1,8,11,6
"ENSG00000068366",1390,1719,928,1109,2161,1903,1421,1576
"ENSG00000197565",2,2,2,2,4,1,1,3
"ENSG00000101843",910,887,674,1101,1250,992,1274,1396
"ENSG00000101842",0,0,0,1,0,0,0,2
"ENSG00000080561",38,50,39,50,126,110,106,139
"ENSG00000289923",0,1,0,0,1,0,0,0
"ENSG00000147224",1439,1458,1730,1540,1833,1464,2014,2213
"ENSG00000215007",19,34,138,76,43,39,56,109
"ENSG00000269743",62,81,65,71,76,101,75,92
"ENSG00000234345",2,3,2,0,2,5,1,2
"ENSG00000231728",7,14,8,10,6,17,11,12
"ENSG00000123570",31,51,24,21,48,58,35,32
"ENSG00000123560",2730,3256,1811,2038,4018,3550,1802,1837
"ENSG00000288597",0,0,0,0,1,0,0,0
"ENSG00000293448",0,0,0,0,0,1,0,0
"ENSG00000297314",1,2,3,3,4,2,3,5
"ENSG00000304280",0,0,0,0,0,0,0,1
"ENSG00000133142",786,770,805,624,911,743,851,901
"ENSG00000166681",2477,2175,1948,1521,2512,2134,1695,1836
"ENSG00000180964",576,602,364,454,719,553,531,565
"ENSG00000147206",0,0,0,4,4,0,1,6
"ENSG00000286846",5,0,1,0,0,1,1,1
"ENSG00000223546",80,136,82,122,140,112,164,198
"ENSG00000198932",13,12,14,8,11,20,7,12
"ENSG00000271147",16,41,23,24,49,29,37,36
"ENSG00000125962",213,305,239,271,384,279,313,336
"ENSG00000158164",17,13,6,6,15,14,6,8
"ENSG00000231590",0,0,0,0,1,0,0,0
"ENSG00000284800",1,6,0,1,12,0,8,6
"ENSG00000273746",0,0,0,0,0,0,1,0
"ENSG00000269405",104,91,67,0,171,123,90,115
"ENSG00000302652",0,0,0,0,0,1,0,0
"ENSG00000184867",0,0,0,0,0,0,0,1
"ENSG00000286000",0,0,1,0,0,0,0,0
"ENSG00000102401",392,454,395,388,507,423,445,487
"ENSG00000102393",817,762,847,806,912,767,1020,1099
"ENSG00000257529",0,0,182,11,6,9,0,0
"ENSG00000126953",467,488,654,511,602,470,647,715
"ENSG00000183911",0,0,0,0,0,0,2,0
"ENSG00000270813",0,0,1,0,0,0,0,2
"ENSG00000102387",0,4,0,0,3,1,0,1
"ENSG00000102385",1,2,4,8,5,5,3,9
"ENSG00000102384",188,232,312,382,305,195,375,426
"ENSG00000179031",9,3,15,5,6,4,8,11
"ENSG00000007952",1,1,1,5,2,3,2,1
"ENSG00000165194",0,1,6,4,2,2,5,3
"ENSG00000230592",357,283,757,315,369,295,326,442
"ENSG00000236988",0,0,0,1,1,1,0,0
"ENSG00000281566",43,32,8,12,20,24,12,12
"ENSG00000204086",1,6,7,10,14,4,7,12
"ENSG00000147202",352,482,218,277,531,451,280,340
"ENSG00000229693",0,0,0,1,0,0,0,0
"ENSG00000295365",1,1,2,1,2,1,1,1
"ENSG00000271209",0,2,1,1,1,0,1,1
"ENSG00000203262",2,4,2,3,2,2,2,4
"ENSG00000235425",0,0,0,0,0,0,0,1
"ENSG00000299734",0,0,1,0,0,0,2,1
"ENSG00000186310",73,46,40,38,77,71,56,39
"ENSG00000234322",46,47,93,58,61,49,76,80
"ENSG00000234130",26,48,42,38,48,42,38,67
"ENSG00000289479",0,0,0,0,0,0,3,0
"ENSG00000234702",5,11,26,14,18,9,8,18
"ENSG00000292338",6,0,30,123,236,12,0,182
"ENSG00000304535",1,0,0,0,0,0,0,0
"ENSG00000303514",0,0,0,0,2,0,0,0
"ENSG00000227581",0,0,0,0,0,1,0,1
"ENSG00000230956",30,17,58,24,28,26,26,29
"ENSG00000188419",523,733,361,776,938,750,870,1014
"ENSG00000237211",2,0,0,0,1,1,0,0
"ENSG00000072133",0,1,0,0,0,0,0,0
"ENSG00000215102",13,19,35,26,16,19,27,22
"ENSG00000228041",1,0,0,0,0,0,0,0
"ENSG00000131171",516,520,278,382,671,564,402,380
"ENSG00000284618",32,70,51,42,50,54,52,62
"ENSG00000073905",99,116,144,96,101,111,77,152
"ENSG00000289132",14,9,18,17,21,24,18,25
"ENSG00000228612",11,23,36,39,27,33,27,32
"ENSG00000174016",7,16,1,2,22,13,8,12
"ENSG00000147138",0,3,1,0,1,5,1,0
"ENSG00000226784",243,253,529,339,336,266,316,429
"ENSG00000131174",2599,2270,2044,2032,2799,2159,2283,2581
"ENSG00000198934",38,35,29,44,36,38,36,36
"ENSG00000102390",436,416,732,448,505,332,582,624
"ENSG00000232332",2,1,6,1,2,1,6,5
"ENSG00000226753",1,0,0,0,0,0,0,0
"ENSG00000215105",66,72,61,61,82,78,52,79
"ENSG00000224775",1,0,1,3,6,1,2,3
"ENSG00000131263",1472,2263,1404,1728,2238,1923,2000,2203
"ENSG00000231206",0,3,3,0,0,0,0,3
"ENSG00000228492",3,5,12,8,5,8,14,16
"ENSG00000203397",5,5,3,5,4,7,3,6
"ENSG00000233984",51,30,88,36,37,29,41,31
"ENSG00000067177",638,789,644,598,992,801,848,838
"ENSG00000301521",2,0,1,0,1,0,1,0
"ENSG00000285547",11,0,3,0,12,0,0,0
"ENSG00000198034",28700,27082,31903,24517,34526,28559,30202,33220
"ENSG00000239577",0,1,1,0,0,1,0,0
"ENSG00000242732",94,117,115,77,114,122,107,86
"ENSG00000291017",0,1,10,0,0,0,8,0
"ENSG00000186810",0,0,0,0,3,0,0,0
"ENSG00000295156",0,0,0,0,2,0,0,0
"ENSG00000213018",6,11,6,4,2,5,5,9
"ENSG00000147133",949,1463,1312,1261,1702,1419,1632,1718
"ENSG00000147166",6,9,10,7,2,6,6,5
"ENSG00000147140",11337,13591,16240,15366,16984,13998,18910,20423
"ENSG00000147130",871,1370,1110,1140,1604,1287,1291,1274
"ENSG00000196338",38,72,30,36,56,62,49,57
